Date,Open,High,Low,Close,Volume
2012-08-07,60.114,60.6012,60.0213,60.3591,31147806.994465
2012-08-08,60.2047,60.4567,60.1041,60.3312,22876007.800124
2012-08-09,60.3312,60.5942,60.2136,60.5125,22835969.16084
2012-08-10,60.3043,60.5673,60.1399,60.5484,22435797.565405
2012-08-13,60.5304,60.7038,60.2216,60.6948,21931497.403495
2012-08-14,60.928,61.0505,60.5484,60.7208,26728128.397266
2012-08-15,60.6759,60.9668,60.668,60.8712,32138664.449729
2012-08-16,61.1033,61.7319,61.0316,61.5985,39422287.141562
2012-08-17,61.7319,61.8804,61.5905,61.8705,24927782.801457
2012-08-20,61.8256,61.9721,61.5815,61.9631,29721921.543001
2012-08-21,62.1494,62.3786,61.4749,61.7141,45666323.477153
2012-08-22,61.5745,62.0866,61.4101,61.9721,49192899.524005
2012-08-23,61.7051,61.8904,61.2986,61.4649,31804147.590676
2012-08-24,61.3255,61.991,61.2179,61.8425,42355957.086165
2012-08-27,62.1215,62.1853,61.8057,61.9442,22807297.721101
2012-08-28,61.8904,62.1136,61.6791,61.9442,30165054.628501
2012-08-29,61.9541,62.0956,61.6791,61.9442,29453323.400328
2012-08-30,61.6791,61.6951,61.2179,61.3165,26971961.602686
2012-08-31,61.7599,61.991,61.1033,61.723,46508957.668966
2012-09-04,61.6115,61.9043,61.0615,61.6643,35316479.758608
2012-09-05,61.6203,61.9043,61.4391,61.6025,28857394.074676
2012-09-06,61.9671,62.9833,61.9671,62.9653,47575177.900702
2012-09-07,62.8199,62.9833,62.6914,62.8747,36395244.560758
2012-09-10,62.7203,62.8508,62.0259,62.0687,28141337.790181
2012-09-11,62.0687,62.3248,61.8705,61.9721,32902761.079009
2012-09-12,62.1952,62.3158,61.7689,62.1494,46605886.507198
2012-09-13,62.2242,63.2663,62.1404,62.9933,50136819.729611
2012-09-14,63.2453,63.7854,63.2015,63.5542,42938586.035554
2012-09-17,63.5731,63.61,63.3559,63.5831,35112993.336426
2012-09-18,63.4267,63.6648,63.4077,63.6379,29989722.727049
2012-09-19,63.6558,63.9158,63.4436,63.7564,40287765.138628
2012-09-20,63.4535,63.7564,63.2743,63.6917,46953105.521683
2012-09-21,63.9986,64.0613,63.6468,63.7096,26074731.730085
2012-09-24,63.1717,63.4436,63.0451,63.338,35536315.87734
2012-09-25,63.4994,63.6468,62.4194,62.4463,45477025.728947
2012-09-26,62.3646,62.4014,61.6203,61.9392,36064087.173393
2012-09-27,62.0737,62.9385,61.986,62.791,27890848.876135
2012-09-28,62.5928,62.7721,62.2202,62.275,33152214.147586
2012-10-01,62.5738,62.9653,61.986,62.1823,41521858.582205
